experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,16,5100,5100,23,0.78679,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,16,5100,5100,23,0.78673,966
cimas_cold_vm,19,C0,No incentive,17,5076,4647,23,0.78708,966
cimas_cold_vm,19,C1,Random allocation,17,5076,5076,23,0.78706,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,17,5076,5076,23,0.78715,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,17,5076,5076,23,0.78715,966
cimas_cold_vm,19,C0,No incentive,18,5028,4569,23,0.78608,966
cimas_cold_vm,19,C1,Random allocation,18,5028,5028,23,0.78631,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,18,5028,5028,23,0.78582,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,18,5028,5028,23,0.78601,966
cimas_cold_vm,19,C0,No incentive,19,4925,4515,23,0.78627,966
cimas_cold_vm,19,C1,Random allocation,19,4925,4925,23,0.786,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,19,4925,4925,23,0.78606,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,19,4925,4925,23,0.78606,966
cimas_cold_vm,19,C0,No incentive,20,5005,4538,23,0.787,966
cimas_cold_vm,19,C1,Random allocation,20,5005,5005,23,0.78705,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,20,5005,5005,23,0.78685,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,20,5005,5005,23,0.78682,966
cimas_cold_vm,19,C0,No incentive,21,5098,4638,23,0.78571,966
cimas_cold_vm,19,C1,Random allocation,21,5098,5098,23,0.78578,966
