seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,10,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,10,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,10,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9523809523809523
7,cold_fed,10,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7564102564102564
7,cold_fed,10,MEDICINE CHEST,94,24,0.3333333333333333,0.7109375
7,cold_fed,10,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7789380081300813
7,cold_fed,10,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.8974358974358974
7,cold_fed,10,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,10,WATERSHED PHARMACY,97,25,0.36,0.7847222222222222
7,cold_fed,11,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,11,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428571
7,cold_fed,11,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6857142857142856
7,cold_fed,11,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8649445214979196
7,cold_fed,11,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8020022246941045
7,cold_fed,11,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.740418118466899
7,cold_fed,11,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8063388817065288
7,cold_fed,11,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7326702833031946
7,cold_fed,11,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8421666666666667
7,cold_fed,11,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7444357161560619
7,cold_fed,11,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8427033492822966
7,cold_fed,11,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8304398148148149
7,cold_fed,11,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8125490196078431
7,cold_fed,11,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6973958333333332
7,cold_fed,11,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,11,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,11,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9523809523809523
7,cold_fed,11,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7564102564102564
7,cold_fed,11,MEDICINE CHEST,94,24,0.3333333333333333,0.7109375
7,cold_fed,11,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7793191056910569
7,cold_fed,11,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461537
7,cold_fed,11,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,11,WATERSHED PHARMACY,97,25,0.36,0.7847222222222222
7,cold_fed,12,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,12,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428571
7,cold_fed,12,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6857142857142857
7,cold_fed,12,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8656380027739251
7,cold_fed,12,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8031145717463848
7,cold_fed,12,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.740418118466899
7,cold_fed,12,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8066014867485456
7,cold_fed,12,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7334237492465341
7,cold_fed,12,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8425
7,cold_fed,12,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7454831107619796
7,cold_fed,12,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8444976076555024
7,cold_fed,12,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8305844907407408
